"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292899479000","18.81"
"1292899712000","18.83"
"1292899944000","18.81"
"1292900642000","18.83"
"1292901107000","18.81"
"1292901572000","18.83"
"1292901804000","18.81"
"1292902967000","18.83"
"1292903199000","18.81"
"1292903664000","18.83"
"1292903897000","18.81"
"1292904129000","18.83"
"1292904362000","18.81"
"1292904594000","18.83"
"1292905059000","18.81"
"1292905524000","18.83"
"1292905757000","18.81"
"1292906222000","18.83"
"1292906919000","18.81"
"1292908082000","18.83"
"1292908314000","18.81"
"1292909477000","18.83"
"1292910872000","18.81"
"1292911337000","18.83"
"1292911569000","18.81"
"1292911802000","18.83"
"1292912034000","18.81"
"1292912267000","18.83"
"1292912499000","18.81"
"1292912732000","18.83"
"1292913662000","18.81"
"1292915057000","18.83"
"1292915522000","18.81"
"1292916452000","18.83"
"1292916684000","18.81"
"1292916917000","18.83"
"1292917382000","18.81"
"1292918079000","18.83"
"1292918544000","18.81"
"1292920637000","18.83"
"1292920869000","18.81"
"1292921334000","18.83"
"1292921567000","18.81"
"1292927844000","18.78"
"1292928077000","18.81"
"1292929704000","18.78"
"1292930402000","18.81"
"1292931332000","18.78"
"1292931564000","18.81"
"1292931797000","18.78"
"1292932029000","18.81"
"1292935052000","18.78"
"1292935517000","18.81"
"1292936447000","18.78"
"1292936912000","18.81"
"1292937377000","18.78"
"1292937609000","18.81"
"1292938307000","18.78"
"1292938539000","18.81"
"1292939702000","18.78"
"1292940167000","18.81"
"1292940399000","18.78"
"1292940632000","18.81"
"1292941329000","18.78"
"1292941562000","18.81"
"1292942027000","18.78"
"1292942259000","18.81"
"1292943422000","18.78"
"1292943654000","18.81"
"1292944584000","18.78"
"1292944817000","18.81"
"1292945049000","18.78"
"1292946444000","18.81"
"1292947142000","18.78"
"1292947374000","18.81"
"1292947607000","18.78"
"1292947839000","18.81"
"1292948072000","18.78"
"1292948304000","18.81"
"1292949002000","18.78"
"1292949234000","18.81"
"1292949699000","18.78"
"1292950397000","18.81"
"1292950862000","18.78"
"1292953187000","18.81"
"1292953419000","18.78"
"1292954349000","18.81"
"1292954814000","18.78"
"1292955279000","18.81"
"1292955512000","18.78"
"1292955744000","18.81"
"1292956209000","18.78"
"1292956442000","18.81"
"1292956674000","18.78"
"1292956907000","18.81"
"1292957139000","18.78"
"1292957604000","18.81"
"1292957837000","18.78"
"1292959697000","18.81"
"1292959929000","18.78"
"1292960162000","18.81"
"1292960627000","18.78"
"1292962254000","18.81"
"1292962487000","18.78"
"1292966439000","18.81"
"1292966672000","18.78"
"1292972717000","18.76"
"1292972949000","18.78"
"1292973182000","18.76"
"1292973414000","18.78"
"1292973879000","18.76"
"1292974112000","18.78"
"1292974344000","18.76"
"1292974577000","18.78"
"1292975274000","18.76"
"1292975507000","18.78"
"1292975739000","18.76"
"1292975972000","18.78"
"1292976669000","18.76"
"1292977367000","18.78"
"1292977599000","18.76"
"1292978529000","18.78"
"1292978762000","18.76"
"1292979227000","18.78"
"1292979692000","18.76"
"1292980157000","18.78"
"1292980389000","18.76"
"1292980622000","18.78"
"1292980854000","18.76"
"1292981552000","18.78"
"1292982249000","18.76"
"1292982482000","18.78"
"1292982714000","18.76"
"1292984109000","18.78"
"1292984342000","18.76"
"1292987132000","18.78"
"1292987364000","18.76"
"1292988759000","18.74"
"1292988992000","18.76"
"1292989689000","18.78"
"1292989922000","18.76"
"1292991782000","18.78"
"1292992014000","18.76"
"1292999454000","18.78"
"1292999687000","18.76"
"1293001314000","18.78"
"1293001547000","18.74"
"1293001779000","18.76"
"1293003174000","18.78"
"1293003407000","18.76"
"1293011544000","18.78"
"1293011777000","18.76"
"1293016427000","18.74"
"1293016659000","18.76"
"1293017124000","18.74"
"1293017357000","18.76"
"1293018287000","18.74"
"1293018752000","18.76"
"1293028517000","18.78"
"1293028749000","18.76"
"1293034329000","18.78"
"1293034562000","18.76"
"1293041769000","18.78"
"1293042002000","18.76"
"1293043164000","18.78"
"1293043862000","18.76"
"1293045024000","18.78"
"1293045257000","18.76"
"1293047117000","18.78"
"1293047349000","18.76"
"1293047582000","18.78"
"1293047814000","18.76"
"1293048512000","18.78"
"1293048744000","18.76"
"1293048977000","18.78"
"1293049209000","18.76"
"1293049442000","18.78"
"1293050837000","18.76"
"1293051069000","18.78"
"1293051767000","18.76"
"1293052697000","18.78"
"1293053627000","18.76"
"1293054092000","18.78"
"1293054324000","18.76"
"1293055022000","18.78"
"1293056649000","18.76"
"1293056882000","18.78"
"1293057579000","18.76"
"1293058509000","18.78"
"1293058742000","18.76"
"1293058974000","18.78"
"1293059207000","18.76"
"1293060137000","18.78"
"1293060369000","18.76"
"1293060834000","18.78"
"1293061067000","18.76"
"1293061764000","18.78"
"1293061997000","18.76"
"1293063159000","18.78"
"1293063392000","18.76"
"1293063624000","18.78"
"1293064089000","18.76"
"1293066414000","18.78"
"1293066647000","18.76"
"1293068042000","18.74"
"1293068274000","18.76"
"1293068739000","18.74"
"1293068972000","18.76"
"1293070134000","18.74"
"1293070367000","18.76"
"1293070832000","18.74"
"1293071064000","18.76"
"1293073389000","18.78"
"1293073622000","18.76"
"1293080364000","18.74"
"1293080597000","18.76"
"1293082457000","18.74"
"1293082689000","18.76"
"1293087339000","18.78"
"1293087804000","18.76"
"1293088037000","18.78"
