"Monitor PT1000 Plus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292981289000","18.92"
"1292982017000","18.89"
"1292982502000","18.92"
"1292982744000","18.89"
"1292982987000","18.92"
"1292983229000","18.89"
"1292984199000","18.92"
"1292985169000","18.89"
"1292985654000","18.92"
"1292986624000","18.89"
"1292986867000","18.92"
"1292988079000","18.89"
"1292988564000","18.92"
"1292988807000","18.89"
"1292989534000","18.92"
"1292990019000","18.89"
"1292990504000","18.92"
"1292991232000","18.89"
"1292991959000","18.92"
"1292992202000","18.89"
"1292992444000","18.92"
"1292993657000","18.89"
"1292995354000","18.92"
"1292995597000","18.89"
"1292996082000","18.92"
"1292996324000","18.89"
"1293003357000","18.92"
"1293003599000","18.89"
"1293004327000","18.92"
"1293004569000","18.89"
"1293017422000","18.92"
"1293017664000","18.89"
"1293021787000","18.92"
"1293022272000","18.89"
"1293025424000","18.92"
"1293025667000","18.89"
"1293030759000","18.87"
"1293031002000","18.89"
"1293032699000","18.87"
"1293032942000","18.89"
"1293036579000","18.92"
"1293036822000","18.89"
"1293037064000","18.92"
"1293037307000","18.89"
"1293040459000","18.92"
"1293040702000","18.89"
"1293042884000","18.87"
"1293043127000","18.89"
"1293050644000","18.87"
"1293050887000","18.89"
"1293051129000","18.87"
"1293051372000","18.89"
"1293051614000","18.87"
"1293051857000","18.89"
"1293054524000","18.92"
"1293054767000","18.89"
"1293065437000","18.87"
"1293065679000","18.89"
"1293071499000","18.87"
"1293072227000","18.89"
"1293079017000","18.87"
"1293079259000","18.89"
"1293080229000","18.87"
"1293080957000","18.89"
"1293081199000","18.87"
"1293081442000","18.89"
"1293081684000","18.87"
"1293081927000","18.89"
"1293082654000","18.87"
"1293084837000","18.89"
"1293085079000","18.87"
"1293086292000","18.89"
"1293087262000","18.87"
"1293087504000","18.89"
"1293087989000","18.87"
"1293088474000","18.89"
"1293088717000","18.87"
"1293089202000","18.89"
"1293089444000","18.87"
"1293089687000","18.89"
"1293089929000","18.87"
"1293090172000","18.89"
"1293090414000","18.87"
"1293092597000","18.89"
"1293092839000","18.87"
"1293094294000","18.89"
"1293094537000","18.87"
"1293094779000","18.89"
"1293095022000","18.87"
"1293096962000","18.89"
"1293097204000","18.87"
"1293100114000","18.85"
"1293100357000","18.87"
"1293103752000","18.89"
"1293103994000","18.87"
"1293104237000","18.89"
"1293104722000","18.87"
"1293106419000","18.89"
"1293106662000","18.87"
"1293113694000","18.89"
"1293113937000","18.87"
"1293115634000","18.89"
"1293115877000","18.87"
"1293116362000","18.89"
"1293116604000","18.87"
"1293120727000","18.89"
"1293120969000","18.87"
"1293121697000","18.89"
"1293121939000","18.87"
"1293122424000","18.89"
"1293122667000","18.87"
"1293132367000","18.89"
"1293132609000","18.87"
"1293133094000","18.85"
"1293133337000","18.87"
"1293134307000","18.85"
"1293134549000","18.87"
"1293135277000","18.85"
"1293135519000","18.87"
"1293137702000","18.85"
"1293137944000","18.87"
"1293140854000","18.85"
"1293141582000","18.87"
"1293141824000","18.85"
"1293142309000","18.87"
"1293143764000","18.85"
"1293144007000","18.87"
"1293146189000","18.85"
"1293146432000","18.87"
"1293146674000","18.85"
"1293146917000","18.87"
"1293147159000","18.85"
"1293147644000","18.87"
"1293147887000","18.85"
"1293148129000","18.87"
"1293148372000","18.85"
"1293148857000","18.87"
"1293149099000","18.85"
"1293149584000","18.87"
"1293149827000","18.85"
"1293150069000","18.87"
"1293150554000","18.85"
"1293150797000","18.87"
"1293151524000","18.85"
"1293152009000","18.87"
"1293152494000","18.85"
"1293152737000","18.87"
"1293153707000","18.85"
"1293154192000","18.87"
"1293154677000","18.85"
"1293155162000","18.87"
"1293155404000","18.85"
"1293155889000","18.87"
"1293156132000","18.85"
"1293158557000","18.87"
"1293158799000","18.85"
"1293159042000","18.87"
"1293159284000","18.85"
"1293159769000","18.87"
"1293160012000","18.85"
"1293161467000","18.87"
"1293161709000","18.85"
"1293162194000","18.87"
"1293162437000","18.85"
"1293164862000","18.87"
"1293165104000","18.85"
"1293170924000","18.83"
"1293171167000","18.85"
"1293173592000","18.87"
"1293173834000","18.85"
"1293180867000","18.83"
"1293181109000","18.85"
"1293182322000","18.83"
"1293182564000","18.85"
"1293182807000","18.83"
"1293183049000","18.85"
"1293184262000","18.83"
"1293184504000","18.85"
"1293186687000","18.83"
"1293188627000","18.85"
"1293189354000","18.83"
"1293189597000","18.85"
"1293189839000","18.83"
"1293191779000","18.85"
"1293192022000","18.83"
"1293192507000","18.85"
"1293192749000","18.83"
"1293194204000","18.85"
"1293194689000","18.83"
"1293202449000","18.85"
"1293202692000","18.83"
"1293209239000","18.81"
"1293209724000","18.83"
"1293210694000","18.81"
"1293210937000","18.83"
"1293215059000","18.81"
"1293215302000","18.83"
"1293215544000","18.81"
"1293216272000","18.83"
"1293217484000","18.81"
"1293217969000","18.83"
"1293218212000","18.81"
"1293218939000","18.83"
"1293219182000","18.81"
"1293219667000","18.83"
"1293220394000","18.81"
"1293221122000","18.83"
"1293221364000","18.81"
"1293222577000","18.83"
"1293225002000","18.81"
"1293225244000","18.83"
"1293225487000","18.81"
"1293227184000","18.83"
"1293227669000","18.81"
"1293228154000","18.83"
"1293229609000","18.81"
"1293229852000","18.83"
"1293230579000","18.81"
"1293230822000","18.83"
"1293231064000","18.81"
"1293231307000","18.83"
"1293231549000","18.81"
"1293232762000","18.83"
"1293233004000","18.81"
"1293235672000","18.83"
"1293236157000","18.81"
"1293238097000","18.83"
"1293238339000","18.81"
"1293241007000","18.83"
"1293241249000","18.81"
"1293241492000","18.83"
"1293241977000","18.81"
"1293242704000","18.83"
"1293242947000","18.81"
"1293243432000","18.83"
"1293243674000","18.81"
"1293244159000","18.83"
"1293244644000","18.81"
"1293247554000","18.83"
"1293247797000","18.81"
"1293249009000","18.83"
"1293249252000","18.81"
"1293258224000","18.78"
"1293258467000","18.81"
"1293259194000","18.78"
"1293259437000","18.81"
"1293260164000","18.78"
"1293260407000","18.81"
"1293261619000","18.78"
"1293261862000","18.81"
"1293262104000","18.78"
"1293262347000","18.81"
"1293263317000","18.78"
"1293263559000","18.81"
"1293264772000","18.78"
"1293265257000","18.81"
"1293265984000","18.78"
"1293266227000","18.81"
"1293266469000","18.78"
"1293267197000","18.81"
